nationality,class,time_s,time,5ktime,5kdiff,5kminperk,5kkmh,5kplace,10ktime,10kdiff,10kminperk,10kkmh,10kplace,15ktime,15kdiff,15kminperk,15kkmh,15kplace,20ktime,20kdiff,20kminperk,20kkmh,20kplace,finishtime_s,finishtime,finishdiff,finishminperk,finishkmh
SWE,H35,4897,01:21:37,00:18:55,18:55,03:48,15.86,305,00:37:25,18:30,03:43,16.21,273,00:56:42,19:16,03:52,15.56,264,01:17:07,20:24,04:05,14.70,300,4897,01:21:37,04:29,04:07,14.63
SWE,D35,5873,01:37:53,00:22:10,22:10,04:27,13.53,217,00:44:34,22:24,04:29,13.39,236,01:08:05,23:30,04:43,12.76,259,01:32:29,24:24,04:53,12.29,290,5873,01:37:53,05:23,04:56,12.20
SWE,D17,5873,01:37:53,00:22:51,22:51,04:35,13.12,362,00:45:20,22:28,04:30,13.34,317,01:08:26,23:05,04:38,12.99,283,01:32:37,24:11,04:51,12.41,298,5873,01:37:53,05:16,04:49,12.49
SWE,H35,4897,01:21:37,00:19:21,19:21,03:53,15.49,436,00:38:25,19:03,03:49,15.74,413,00:57:57,19:32,03:55,15.36,378,01:17:28,19:30,03:55,15.38,318,4897,01:21:37,04:09,03:48,15.83
SWE,H50,4901,01:21:41,00:18:29,18:29,03:42,16.22,201,00:36:48,18:18,03:40,16.39,197,00:56:23,19:35,03:56,15.31,245,01:17:20,20:56,04:12,14.32,313,4901,01:21:41,04:21,03:59,15.11
SWE,D17,5874,01:37:54,00:22:44,22:44,04:33,13.19,323,00:45:36,22:51,04:35,13.12,352,01:09:08,23:32,04:43,12.75,337,01:32:46,23:38,04:44,12.69,306,5874,01:37:54,05:08,04:41,12.82
SWE,D40,5878,01:37:58,00:22:21,22:21,04:29,13.42,244,00:44:40,22:18,04:28,13.45,246,01:08:20,23:40,04:45,12.67,278,01:32:49,24:28,04:54,12.25,311,5878,01:37:58,05:09,04:42,12.77
SWE,H17,4901,01:21:41,00:18:37,18:37,03:44,16.11,226,00:37:07,18:30,03:43,16.21,232,00:56:26,19:19,03:52,15.53,249,01:17:05,20:38,04:08,14.53,296,4901,01:21:41,04:36,04:12,14.30
SWE,D17,5879,01:37:59,00:22:38,22:38,04:32,13.25,302,00:45:38,22:59,04:36,13.05,358,01:09:08,23:30,04:43,12.76,338,01:33:10,24:01,04:49,12.49,334,5879,01:37:59,04:49,04:24,13.64
SWE,H17,4903,01:21:43,00:17:58,17:58,03:36,16.69,132,00:36:24,18:26,03:42,16.27,162,00:56:16,19:51,03:59,15.11,230,01:17:21,21:05,04:14,14.22,315,4903,01:21:43,04:21,03:59,15.12
SWE,D17,5879,01:37:59,00:23:19,23:19,04:40,12.86,505,00:45:50,22:30,04:31,13.33,382,01:09:08,23:18,04:40,12.87,339,01:32:54,23:45,04:46,12.62,317,5879,01:37:59,05:05,04:39,12.94
SWE,H45,4903,01:21:43,00:18:41,18:41,03:45,16.05,242,00:37:31,18:50,03:47,15.93,290,00:57:13,19:42,03:57,15.23,311,01:17:30,20:16,04:04,14.80,321,4903,01:21:43,04:13,03:51,15.59
